TOPIC,DESCRIPTION,,Count,
Ethnic or cultural origin,  Telugu,,255,
Ethnic or cultural origin,  Roma,,200,
Ethnic or cultural origin,  Costa Rican,,180,
Ethnic or cultural origin,  African Nova Scotian,,85,
Ethnic or cultural origin,  Malagasy,,35,
Ethnic or cultural origin,  Kashmiri,,820,
Ethnic or cultural origin,  Singaporean,,325,
Ethnic or cultural origin,  Karen,,390,
Ethnic or cultural origin,  Edo,,605,
Ethnic or cultural origin,  Tajik,,280,
Ethnic or cultural origin,  Amhara,,810,
Ethnic or cultural origin,  Paraguayan,,100,
Religion,Total - Religion for the population in private households - 25% sample data,161,1291770,
Religion,  Buddhist,,20855,
Religion,  Christian,,575250,
Religion,"    Christian, n.o.s.",162,121585,
Religion,    Anabaptist,,2100,
Religion,    Anglican,,27005,
Religion,    Baptist,,10875,
Religion,    Catholic,,262720,
Religion,    Christian Orthodox,,24020,
Religion,    Jehovah's Witness,,5160,
Religion,    Latter Day Saints,,9895,
Religion,    Lutheran,,14005,
Religion,    Methodist and Wesleyan (Holiness),,2570,
Religion,    Pentecostal and other Charismatic,,14690,
Religion,    Presbyterian,,8330,
Religion,    Reformed,,1250,
Religion,    United Church,,37055,
Religion,    Other Christian and Christian-related traditions,,33980,
Religion,  Hindu,,33450,
Religion,  Jewish,,6390,
Religion,  Muslim,,95925,
Religion,  Sikh,,49465,
Religion,  Traditional (North American Indigenous) spirituality,,1370,
Religion,  Other religions and spiritual traditions,,9695,
Religion,  No religion and secular perspectives,,499375,
Mobility status 1 year ago,Total - Mobility status 1 year ago - 25% sample data,163,1277835,
Mobility status 1 year ago,  Non-movers,,1101965,
Mobility status 1 year ago,  Movers,,175865,
Mobility status 1 year ago,    Non-migrants,,132940,
Mobility status 1 year ago,    Migrants,,42925,
Mobility status 1 year ago,      Internal migrants,,29285,
Mobility status 1 year ago,        Intraprovincial migrants,,13780,
Mobility status 1 year ago,        Interprovincial migrants,,15505,
Mobility status 1 year ago,      External migrants,,13640,
Mobility status 5 years ago,Total - Mobility status 5 years ago - 25% sample data,164,1217975,
Mobility status 5 years ago,  Non-movers,,707190,
Mobility status 5 years ago,  Movers,,510785,
Mobility status 5 years ago,    Non-migrants,,333555,
Mobility status 5 years ago,    Migrants,,177230,
Mobility status 5 years ago,      Internal migrants,,103835,
Mobility status 5 years ago,        Intraprovincial migrants,,52115,
Mobility status 5 years ago,        Interprovincial migrants,,51725,
Mobility status 5 years ago,      External migrants,,73395,
Secondary (high) school diploma or equivalency certificate,Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households - 25% sample data,165,1056230,
Secondary (high) school diploma or equivalency certificate,  No high school diploma or equivalency certificate,,149010,
Secondary (high) school diploma or equivalency certificate,  With high school diploma or equivalency certificate,166,907215,
Secondary (high) school diploma or equivalency certificate,Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households - 25% sample data,165,737750,
Secondary (high) school diploma or equivalency certificate,  No high school diploma or equivalency certificate,,65615,
Secondary (high) school diploma or equivalency certificate,  With high school diploma or equivalency certificate,166,672130,
"Highest certificate, diploma or degree","Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",165,1056230,
"Highest certificate, diploma or degree","  No certificate, diploma or degree",,134565,
"Highest certificate, diploma or degree",  High (secondary) school diploma or equivalency certificate,167,273135,
"Highest certificate, diploma or degree","  Postsecondary certificate, diploma or degree",,648530,
"Highest certificate, diploma or degree",    Postsecondary certificate or diploma below bachelor level,,271085,
"Highest certificate, diploma or degree",      Apprenticeship or trades certificate or diploma,,62155,
"Highest certificate, diploma or degree",        Non-apprenticeship trades certificate or diploma,168,22795,
"Highest certificate, diploma or degree",        Apprenticeship certificate,169,39360,
"Highest certificate, diploma or degree","      College, CEGEP or other non-university certificate or diploma",170,172905,
"Highest certificate, diploma or degree",      University certificate or diploma below bachelor level,,36020,
"Highest certificate, diploma or degree",    Bachelor's degree or higher,,377450,
"Highest certificate, diploma or degree",      Bachelor's degree,,258985,
"Highest certificate, diploma or degree",      University certificate or diploma above bachelor level,,19835,
"Highest certificate, diploma or degree","      Degree in medicine, dentistry, veterinary medicine or optometry",,9365,
"Highest certificate, diploma or degree",      Master's degree,,77600,
"Highest certificate, diploma or degree",      Earned doctorate,171,11670,
"Highest certificate, diploma or degree","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",165,737750,
"Highest certificate, diploma or degree","  No certificate, diploma or degree",,56150,
"Highest certificate, diploma or degree",  High (secondary) school diploma or equivalency certificate,167,158090,
"Highest certificate, diploma or degree","  Postsecondary certificate, diploma or degree",,523505,
"Highest certificate, diploma or degree",    Postsecondary certificate or diploma below bachelor level,,207210,
"Highest certificate, diploma or degree",      Apprenticeship or trades certificate or diploma,,46300,
"Highest certificate, diploma or degree",        Non-apprenticeship trades certificate or diploma,168,16310,
"Highest certificate, diploma or degree",        Apprenticeship certificate,169,29990,
"Highest certificate, diploma or degree","      College, CEGEP or other non-university certificate or diploma",170,132925,
"Highest certificate, diploma or degree",      University certificate or diploma below bachelor level,,27990,
"Highest certificate, diploma or degree",    Bachelor's degree or higher,,316295,
"Highest certificate, diploma or degree",      Bachelor's degree,,215545,
"Highest certificate, diploma or degree",      University certificate or diploma above bachelor level,,15980,
"Highest certificate, diploma or degree","      Degree in medicine, dentistry, veterinary medicine or optometry",,8070,
"Highest certificate, diploma or degree",      Master's degree,,67610,
"Highest certificate, diploma or degree",      Earned doctorate,171,9100,
Major field of study - Classification of Instructional Programs (CIP) 2021,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 15 years and over in private households - 25% sample data,172,1056230,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  No postsecondary certificate, diploma or degree",173,407695,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Education,,37900,
Major field of study - Classification of Instructional Programs (CIP) 2021,    13. Education,,37900,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Visual and performing arts, and communications technologies",,20300,
Major field of study - Classification of Instructional Programs (CIP) 2021,    10. Communications technologies/technicians and support services,,2095,
Major field of study - Classification of Instructional Programs (CIP) 2021,    50. Visual and performing arts,,18205,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Humanities,,29295,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    16. Indigenous and foreign languages, literatures, and linguistics",,3420,
Major field of study - Classification of Instructional Programs (CIP) 2021,    23. English language and literature/letters,,6610,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    24. Liberal arts and sciences, general studies and humanities",,10070,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30A Interdisciplinary humanities,174,455,
Major field of study - Classification of Instructional Programs (CIP) 2021,    38. Philosophy and religious studies,,1925,
Major field of study - Classification of Instructional Programs (CIP) 2021,    39. Theology and religious vocations,,2775,
Major field of study - Classification of Instructional Programs (CIP) 2021,    54. History,,3320,
Major field of study - Classification of Instructional Programs (CIP) 2021,    55. French language and literature/lettersCAN,,720,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Social and behavioural sciences and law,,72710,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    05. Area, ethnic, cultural, gender, and group studies",,1020,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    09. Communication, journalism and related programs",,9885,
Major field of study - Classification of Instructional Programs (CIP) 2021,    19. Family and consumer sciences/human sciences,,7890,
Major field of study - Classification of Instructional Programs (CIP) 2021,    22. Legal professions and studies,,13435,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30B Interdisciplinary social and behavioural sciences,175,1430,
Major field of study - Classification of Instructional Programs (CIP) 2021,    42. Psychology,,11935,
Major field of study - Classification of Instructional Programs (CIP) 2021,    45. Social sciences,,27130,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Business, management and public administration",,151340,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.16 Accounting and computer science,,145,
Major field of study - Classification of Instructional Programs (CIP) 2021,    44. Public administration and social service professions,,7190,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    52. Business, management, marketing and related support services",,144000,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Physical and life sciences and technologies,,35280,
Major field of study - Classification of Instructional Programs (CIP) 2021,    26. Biological and biomedical sciences,,11915,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.01 Biological and physical sciences,,7125,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30C Other interdisciplinary physical and life sciences,176,560,
